nama_parfum,brand,description,notes,url_foto,aroma_type,time,occasion,gender,shopee_link,tokopedia_link,tiktok_link,notes;;;;
Over the course of his imaginary journey,Guillaume has gathered ingredients rarely used in perfumery as a sensuous setting for benzoin's vanillic,powdery and spicy facets. Its creaminess is brought out by the smoky,milky undertones of tanakha,a traditional cosmetic whose smell is reminiscent of sandalwood. Subtle Kampot pepper from Cambodia,considered to be the best in the world,and green,sparkling Ceylonese cardamom,underline the spiciness,while Laotian honey wraps the accords in the quirky-gourmand notes that are the trademark of so many Parfumerie GÃ©nÃ©rale fragrances.;;;;,,,
For enigmatic boys and girls,Juniper Sling is a crisp cocktail shot of gin with the freshness of juniper,cool measures of angelica and brandy and a beating libertine heart of black pepper,cardamom,soft leather and orris. A gourmand base of brown sugar,black cherry and amber add sensuality to the scent. ;;;;,,,,,,,
The perfumer was inspired by the geranium-scented soaps she used to love as a child in her parents' bathroom. The challenge,she said,was softening the sharp,tangy facets of geranium oil,and making it original without covering it up.;;;;,,,,,,,,
Spearmint and peppermint boost geranium's own cool minty facets; lavender adds its clean,aromatic freshness while in contrast,a duet of hot spices  clove and pimiento  team up with milky sandalwood and the to ground L'Eau Chic in warmth. Roman chamomile,with its herbal,green,boozy,spicy and woody facets,adds sophistication and complexity to the blend. ;;;,,,,,
With an intensely peppery,dark opening,Honour Man creates olfactory storm clouds of disquiet,confusion,and drama befitting its back story,which was written by the perfume house's creative director Christopher Chong and inspired by Puccini's tragic opera Madame Butterfly.;;;;,,,,,,,
In Chong's melodramatic creative brief,Honour is the son of Madame Butterfly,Puccini's tragic heroine who commits suicide when the American soldier who abandoned her years before returns to take their son. Honour has come back,so the narrative goes,to confront his mother's tragedy and to come to terms with his identity.;;;;,,,,,,,,
After the blast of pepper,Honour Man allows a fresh,rosy-floral note from geranium to peek through the dark clouds,followed by a succession of warm,woody,and spicy notes,including an intense patchouli that reminds us that Honour is still a fiery young man. Chong suggests that these comforting,beautifully blended base notes represent the reconciliation of our hero's troubled quest with hisfilial elegy to honour his mother. Its dry down does indeed feel like the denouement to a stormy,existential drama. ;;;;,,,,
Honour Woman opens with a tart rhubarb note and ends on a smooth base of subtly spicy resins,amber and almost imperceptible leather. But the showstopper of Honour Woman is its floral heart. Gardenia,which is often deployed to bring out its hot-house flower sultriness,is here transparent and light,flanked like a princess in white with her attendants lily-of-the-valley,jasmine,carnation and a very subdued tuberose. It's as if the passionate gardenia that Madame Butterfly's Cio Cio San once was gives way,after Pinkerton's betrayal,to a more stoic and elegant  if tragic  version of the flower. Eros transformed into Thanatos.;;;;,,,,
As it dries down,traces of rhubarb remain as its subtly spicy and warm base rises up. Even without the perfume's melodramatic back story,Honour Woman's fragrant narrative is powerful on its own.;;;;,,,,,,,,,,
Nasomatto's Pardon takes a dark,woodsy richness and nudges it  ever-so-gently  into a surprisingly softer direction for the Italian niche line.;;;;,,,,,,,,,,,
The first time Mme Di Orio smelt a sample of an oud essential oil,she was not at all convinced. There are many different qualities and origins,and as she was not seduced,she was not really interested to work with it. Last year her provider called her he just had received a new quality from Laos and this time when she smelt it,she was totally subjugated,intoxicated. Such an aura,such an essential oil,at this moment Mme Di Orio realized deeply why this product was so mystical,intimate and secret for thousands of years and through many religions in the world. Just to give an idea about its value: 18,000 Euro for one kilo-- about half a kilo compared to the price of gold. She wanted to create something unique and thought about blending oud with somethimg rare and also precious,really different and unexpected like the absolute osmanthus from China. Created from a real oud essential oil,distilled by traditional hand methods in Laos; the source of oud is from a tree that has been replanted and cultivated under fair trade practices.;;;,
The enigmatic and much-prized essential oil of real Oudh from Laos radiates from the centre of Mona di Orio'sOud casting a mystical spell on the other notes and highlighting their beauty. This fragrance opens with notes of hesperides and spices like elemi,petitgrain and green mandarin,mingled in a seductive encounter. Like a love potion with a radiant sensuality,the Oudh reveals one by one its troubling facets,alternated between animal,leathery,woody or balsamic. They embrace in a passionate vibration to a shadowy patchouli,a mysterious nagarmotha,a cedar from Atlas and a grey amber,a spellbinding formula rich and headily. Absolu osmanthus,the carnal flower with its warm mesmeric charming hints of jasmin,honey and apricot tempers the forceful power of the Oudh by its gourmand nectar.;;;;,
In TubÃ©reuse,Mona di Orio creates what she calls atwilight tuberose, greener and fresher than its headier nocturnal incarnations but still intoxicating and rich. It opens with a beautiful and peppery burst of bergamot and green notes,which almost gives tuberose the quality of having been tamed and made more transparent after a refreshing light rain.;;;;,,,,,,,,,
Soon,the unmistakably narcotic tuberose slinks its way forward,flanked by creamy notes from benzoin and amber matched with a milky nuttiness from heliotrope and coconut. Along with TubÃ©reuse's top notes,the occasional sharp floral facet from heliotrope joins with tuberose's green facets,balancing out its creamy and musky base notes.;;;;,,,,,,,,
Gourmand,smoky,and boozy with a subtle aromatic orange note lingering in the background,Vanille is one Bateau Ivre of perfectly blended notes that will derange your senses with its sensuality.;;;;,,,,,,,,,
Vanille opens with a shot of rum flavored with an orange rind and spiced with cloves. Amber and tonka further warm up this brew as ylang-ylang's sharp sweetness joins with rich vanilla. Gaiac wood adds incensey smoke as woody notes from vetiver and sandalwood help to create an elegant finish.;;;;,,,,,,,,,,,,
In the top notes,blue ginger from Madagascar  which Mona di Orio distinguishes from what she calls the dustier and drier Chinese ginger  creates the olfactory hallucination of having the fresh root under your nose. Virginia cedar and clary sage absolute add a slightly bitter,herbaceous accord with a momentary glint of mint.;;;;,,,,,,,,,,
VÃ©tyver then creates a sleight-of-hand impression of both dryness and freshness,like freshly steeped spiced tea with grapefruit zest just beginning to release its oils. This hesperidic note,concentrated rather than juicy and sparkling,adds a lovely counterpoint to the subtle but rich tonka and labdanum,which add weight and roundness to the perfume.;;;;,,,,,,,,
Week-end is composed of tender herbs mixed with peppermint,sweet basil and tarragon,which provide a floral note with strong tones of lily of the valley  at least,what is left of it,because lily of the valley,from which no natural essence can be extracted,is sorely tested in the production of scents. Not a day passes but legislation limits still further the molecules that can be used to recreate it. It's goodbye to Lilial,Lyral,Hydroxy and sweet bell-flowers! So I called upon Jasmin absolute,supreme of Ylang and resin of Galbanum to sustain the lily of the valley. A hint of apple and cardamom to invoke deepest Normandy. Helional and calone,more recent essences,recall the sea air of the coast. A touch of leather is a nod to the Norman stud farms. Cedarwood and white musk complete the picture.;;;;,
The name comes from by the classic French dessert Pears Belle-HÃ©lÃ¨ne,invented in the late 19th century by Auguste Escoffier,the first celebrity chef and named after Offenbach's 1864 operetta,a risquÃ© spoof on the abduction of Helen of Troy. ;;;;,,,,,,,,,
Of the poached pears,chocolate sauce,vanilla ice cream and crystallized violets,the perfumer has only kept the pear -- a vivid,juicy pear adding its green,rosy and musky notes to the apricot in top and heart,underlined by a zest of tangerine. The powdery woodiness of violets,another facet of osmanthus,are boosted by pure orris butter and balanced out by their classic partner,rose; ylang ylang adds contrast and a rich floral fleshiness. The leather in the osmanthus is drawn out in the heart and anchored to the base by a burnt sweet,woody licorice accord.;;;,,
Come closer we most certainly shall.;;;;,,,,,,,,,,,,
It opens with a green and slightly soapy accord offset by bitter-fresh galbanum and petitgrain,all of which is sharpened with bergamot and lemon. A subtle fruit note adds warmth to Knize Two's radiant florals,among them rose,jasmine,and carnation. Its woody/mossy drydown  with cedarwood,sandalwood,and musk  gives scratchy texture to the smooth and subtley lingering florals that shine through the base.;;;;,,,,,,
In 1681,shortly after the reconstruction of the local monastery,the Carthusian monks of Capri began with the production of scented water which they create using the help of herbs and spices from the local environs. Tradition,craftsmanship,and natural processing play a central role in the fragrances which are based,even to this day,on essences and aromas from this idyllic Mediterranean island.;;;;,,,,,,
Unique values flow into the new composition of Carthusia and unite with a variety of intensive and iridescent impressions: 1681 a multi-faceted fragrance of exquisite complexity. This extremely elegant and distinctive fragrance opens with top notes of mandarin,bergamot and rosemary. The heart of lavender and black pepper flows slowly into a base of long-lasting incense and cedar.;;;;,,,,,,,,,,,
The fragrance is as limpid and bracing as a shot of ice-cold vodka: along with peppery,aromatic bergamot,the lemony,anise-tinged shiso leaves and tangy,zesty cilantro lend their green,aldehydic fizziness to the blend,sweetened by a sprinkle of nutmeg. Freesia and its tender,white floral notes add a jasmine richness to the heart: as the fragrance evolves,its limpidity gives way to a surprising chalk accord produced by a blend of woody notes and musk. ;;;;,,,,
These are the words Olivier Durbano wrote to describe his inspiration for his ode to the symbolism of pink quartz,the rare and light-sensitive crystalline form of rose quartz. Rose is naturally the star ingredient here,a bright,fulsome one that is brought to bursting life in the opening by citrus,saffron and ginger and warmed at its heart with amber,patchouli and musk. Heading into Fall and Winter we can see us keeping this love letter to the most perfect summer near to hand at all times. It's as beautiful as a perfect Technicolor rose garden,it's as calming as a hammock lazily swaying in the summer breeze. It's a lifeline during stressful times and drab,short grey days to a place where the sun shines warmly on your face and all is right with the world.;;;;,,,,,
From the stone to the flower,a love ritual of healing,a sacred procession,a conversion ceremony leading to such essential qualifies as purity,spirituality and compassion. The rose remains a powerful symbol at the crossroads of our human emotions. The rose represents the dawn of a new era to be reinvented by all human souls together.;;;;,,,,,,,,
These essences are distilled by the two systems steam and fractional distillation and add up to almost an overdose (25% of the total),which avoids intensifying the blend with synthetic input. At the end,a few spices  carrot seeds with sparkling apricot essence,nutmeg and clove  add the last surprise. The majestic cedar wood's radical dryness structures the whole effect and the powdery musk draws a nothing but sensual line on the skin.;;;;,,,,,,,,,
Like Isabey's previous scent Gardenia,Fleur Nocturne revives the opulence and full-blown glamour of classic French perfumery: an aromatic shimmer of mandarin melding into the fragrant juiciness of peach and apricot underlining the fruity facets of jasmine; the slightly soapy,lemony touch of magnolia balancing out the lazy Southern Belle lushness of gardenia. Solar notes add a powdery,tropical-flower tinge to the vanilla drydown,barely darkened by patchouli.;;;,,,,,,,,
It is only fitting then that the Grand Master of Memory Christiane Stenger should be the muse of the Geza Schoen for the first installment of The Beautiful Mind series,dedicated to women gifted with exceptional skills.;;;;,,,,,,,,,,,
Cumin and roses sweetened with a bite of candied dates conjure Oriental delicacies between wisps of incense before the medicinal notes of saffron and oud rise to the fore. From then on,a soft but unmistakably natural oud takes center stage,veering towards leather before sinking in the inkiness of castoreum; civet adds a whiff of the beast to the brew.;;;,,,,,,,,,,
Today,FÃ©minitÃ© du Bois,the mother of all Lutens fragrances,has left Shiseido and found its true home. It has shed its strangely compelling dusty pink and plum flacon and Lutens has officially admitted that the formula was slightly tweaked to comply with new regulations,though he maintains thatthe quality (creative and olfactive) remains authentic. Aficionados may find the top notes a tad softer and the base a little muskier,but the fragrance is still entirely,deliciously FÃ©minitÃ© du Bois. ;;;;,,,,,,
The canonic bergamot-labdanum-oakmoss trilogy has been set aside and the scent retains only the structure of the chypre: mouthwatering bergamot,astringent cassis and blackberries stage the juicy,slightly raspy opening burst; damascene rose,lily of the valley and lilac provide the soft floral heart,with a lashing of green violet leaves and heather; two different types of patchouli grounding the composition. One is the traditional essence of patchouli; the other,more unusual one,is a fraction of patchouli essential oil,which brings out the cocoa facets of the heart notes (a chocolate-like effect similar in Serge Lutens' BornÃ©o 1834).;,,,,,
At first sniff,you may think Serge Lutens has gone mainstream. Nuit de Cellophane is,undeniably,a fruity floral drowned in a cloud of fluffy musk. But smell more closely,and the little night music running through the Lutens opus will make itself heard: the stained-glass light of mandarin,warmed by the solar cinnamon roundness of myrrh,drowns the dusk-blooming,indolic jasmine in sunset hues. A slight mentholated whiff betrays a roving tuberose throwing her green flash.;;;;,,,,,
The classic fragrance. Aristocratic and restrained. An elegant subtle citrus with the sherbet fizz of gin and tonic. Fresh warm citrus and lavender notes are dusted with pepper and dried down into bracingly cool conifers and woods.;;;;,,,,,,,,,,,,
Quercus declares itself with a light burst of citrus and basil,supported by a heart accord of jasmine,cardamom and muguet that is sweet,spiced and supremely delicate. The greenness of the basil persists into the surprisingly resilient musk and sandalwood base notes. These are warmed through with moss and patchouli to create elegant,strong and uplifting cologne.;;;;,,,,,,,,
Caramel soft,sweet,powdery and silky. A tumble of green apples and nectarines washed with jasmine tea and sprinkled with a luxurious medley of violet,cyclamen and lily petals. All this softly unfolds with great subtlety surrounded with layers of honeyed vanilla and warm spices. A touch of amber,a hint of musk.;;;;,,,,,,,,
Opening with a luxurious accord of sweet citrus and fiery black pepper,it is instantly addictive,reaches out and draws you in. The heart is lit by the delicacy of English Clove Rose and the evocative temple ambience of incense. The base notes are glorious,smoky waves of aromatic cedarwood and sandalwood.;;;;,,,,,,,,,
A sexy,modern fusion of citrus,spices and leather. Endymion opens with a burst of sweetened mandarin wrapped gently in sage and lavender,this settles and smoothes gently into a dark coffee heart. As the skin warms up,mysterious resins rise up with hints of creamy nutmeg and cardamom,all wrapped in the softest leather.;;;;,,,,,,,
